record_id,plot_id,species_code,diameter_mm_raw,tree_height_dm_raw,study_height_dm_raw,tree_age_raw,study_age_raw,age_source_code,age_reading_height_cm,survey_date_raw,study_selection_method,canopy_code_raw,ecological_region_code_raw,source_file_sha256
2200251603014,2200251603,ERR,154,143,143,,,,100,2022-08-09T00:00:00.000Z,L,I,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2200346502001,2200346502,ERR,98,109,109,,,,100,2022-08-17T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2200367501039,2200367501,ERR,246,155,155,,,,100,2022-08-15T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2200446604003,2200446604,ERR,112,121,121,,,,100,2022-08-18T00:00:00.000Z,L,C,4c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2201029701002,2201029701,ERR,415,269,269,,,,100,2022-08-03T00:00:00.000Z,L,C,3c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2201031701027,2201031701,ERR,101,168,168,,,,100,2022-08-02T00:00:00.000Z,L,C,1a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2201138102029,2201138102,ERR,190,192,192,,,,100,2022-08-31T00:00:00.000Z,L,C,2c,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7000409701081,7000409701,ERR,165,155,155,,,,,2016-10-04T00:00:00.000Z,L,I,3d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7000410302023,7000410302,ERR,130,174,174,,,,,2016-10-03T00:00:00.000Z,S,I,3d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7000500201035,7000500201,ERR,283,217,217,,,,,2019-08-07T00:00:00.000Z,P,C,1a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7100803001031,7100803001,ERR,177,149,149,,,,,2015-08-02T00:00:00.000Z,S,C,2a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7109800902068,7109800902,ERR,118,154,154,,,,,2015-08-13T00:00:00.000Z,S,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
